province,year,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate
Erzincan,2021,216509.0,8430.0,18997.0,34085.0,54906.0,35106.0,3561.0,803.0,0.03893602575412569,0.25359684816797456,0.16214568447501027,0.02015620597758061
Erzincan,2022,218995.0,8174.0,18830.0,33075.0,56649.0,36909.0,3825.0,848.0,0.03732505308340373,0.25867713874746,0.16853809447704285,0.021338386721158016
Erzincan,2023,223387.0,7933.0,18836.0,33704.0,58948.0,37893.0,4132.0,891.0,0.035512361954813845,0.2638828579997941,0.16962938756507764,0.022485641510025203
Erzincan,2024,222140.0,7551.0,18313.0,33403.0,60027.0,37561.0,4252.0,977.0,0.03399207706851535,0.27022148194832085,0.1690870622130188,0.023539209507517783
Erzurum,2021,679307.0,30759.0,76770.0,129677.0,145741.0,86906.0,11773.0,2884.0,0.04527996914502574,0.21454364521490282,0.12793332028081558,0.021576400655373786
Erzurum,2022,676044.0,29409.0,75740.0,124201.0,150331.0,90021.0,12284.0,3012.0,0.04350160640431688,0.22236866239475536,0.13315849264249072,0.022625746253202454
Erzurum,2023,680722.0,28680.0,76152.0,123303.0,155333.0,92953.0,12727.0,3187.0,0.04213173659731873,0.22818859975144037,0.13655060362379945,0.023378119114704683
Erzurum,2024,680153.0,27433.0,74621.0,120754.0,159245.0,96202.0,13317.0,3426.0,0.04033357200512238,0.23413114402200683,0.14144170502813339,0.02461652010650545
Eskişehir,2021,815496.0,11920.0,54863.0,120706.0,215940.0,152602.0,18762.0,4692.0,0.014616871204763727,0.26479590335207037,0.1871278338581673,0.02876041084199064
Eskişehir,2022,825086.0,11822.0,54588.0,118328.0,223617.0,158885.0,19785.0,4932.0,0.014328203363043367,0.2710226570321154,0.19256780505304902,0.029956877222495595
Eskişehir,2023,837713.0,11973.0,54731.0,119996.0,230875.0,164966.0,21062.0,5132.0,0.014292484418888092,0.2756015485016945,0.19692424493830227,0.0312684654529654
Eskişehir,2024,847315.0,11343.0,54522.0,118949.0,237723.0,170113.0,22175.0,5417.0,0.013386993030927104,0.2805603583083033,0.20076712910782885,0.032564040528020866
Gaziantep,2021,1853829.0,51398.0,244259.0,409805.0,315598.0,195862.0,22870.0,2811.0,0.027725318786144783,0.17024116032276979,0.10565267886088739,0.013852949759659602
